"iso.3","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"ABW",0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3784.24273259173,1720,3000,3400,5380,12000,15000,53000,61800,70000,98400,103000,109000,114000,121000,128000,132000,118121.766379131,135000,139000,140000,141000,141000,141000,141000,141000
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,2e+05,6e+05,1200000,2520000,4670000,7900000,10500000,10200000,13800000,15300000,16800000,18400000,19700000,21600000,23900000,2.2e+07,22600000
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1820,1990,3300,7050,9820,24000,25800,75000,140000,350000,740000,1610000,3050000,4960000,6770000,8110000,9400000,12100000,12800000,13300000,14100000,13900000,1.3e+07,13300000,13300000,14800000
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,3300,5600,11000,29800,393000,851000,1100000,1260000,1530000,1910000,2320000,1860000,2460000,2690000,3100000,3500000,3690000,3360000,3400000,3370000,3630000,2710000,2630000
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,770,780,784,2830,5490,8620,14100,20600,23500,29400,32800,51900,58400,64600,69000,63500,64200,64500,65500,65000,63900,63900,66200,71300,76100,80300,82600,87900
"ARE",0,0,0,2330,3560,4940,7920,11200,13700,13800,24900,33600,43000,48900,70600,91500,129000,194000,309000,493000,832000,1430000,1910000,2430000,2970000,3680000,4530000,5520000,7730000,9360000,10700000,10900000,11700000,13800000,16100000,16800000,17900000,19900000,19800000,20100000,19600000
"ARG",0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46600,112000,241000,405000,667000,2010000,2670000,3850000,6490000,6740000,6570000,7840000,13500000,22200000,31500000,40400000,46500000,52500000,57100000,60700000,64300000,67400000,61200000,61800000,63700000,61900000,58600000,58600000
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5000,7830,8160,17500,25500,71300,114000,203000,318000,1260000,1880000,1440000,2190000,3870000,3210000,3320000,3350000,3460000,3460000,3430000,3490000,3580000,3620000
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1400,1500,8500,22000,25000,38200,46100,54000,86000,110000,112000,137000,135000,168000,176000,127000,114000,120000,176000,180000,184000,184000,184000
"AUS",0,0,0,0,0,0,0,0,4420,31600,94500,185000,291000,497000,690000,1220000,2240000,3990000,4580000,4920000,6320000,8560000,11100000,12700000,14300000,16500000,18400000,19800000,21300000,22100000,22200000,22500000,23800000,24300000,24900000,25100000,25800000,26600000,26700000,27600000,27900000
"AUT",0,0,0,0,0,0,9760,19100,26200,36900,50700,73700,115000,172000,221000,278000,384000,599000,1160000,2290000,4250000,6120000,6540000,6740000,7270000,7990000,8660000,9280000,9910000,10800000,11400000,12200000,1.3e+07,13600000,13300000,1.3e+07,13500000,11100000,10900000,1.1e+07,10700000
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,6000,17000,40000,65000,370000,420000,730000,794000,1060000,1460000,2240000,3320000,4520000,6550000,7760000,9100000,10100000,10100000,10100000,10600000,10700000,10200000,10100000,10300000,10800000
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,378,564,561,619,620,800,16300,33400,52000,64000,101000,153000,2e+05,270000,481000,921000,1680000,1910000,2250000,2540000,3190000,5e+06,5360000,5920000,6320000,6640000
"BEL",0,0,0,0,0,0,0,3800,7220,19200,30800,42900,51400,61500,67800,128000,235000,478000,974000,1760000,3190000,5630000,7700000,8100000,8610000,9130000,9600000,9850000,10700000,11300000,11800000,12200000,12500000,12300000,12300000,12700000,12800000,12600000,11400000,11400000,11500000
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,2710,4300,6290,7270,55500,125000,219000,236000,459000,596000,1060000,2050000,3630000,5030000,7070000,7770000,8410000,9630000,8660000,9320000,8890000,8770000,9460000,10300000
"BFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,1500,2730,5040,25200,76200,111000,238000,396000,634000,1020000,1860000,3020000,3820000,5710000,7680000,9980000,11200000,12500000,14400000,15400000,17900000,19300000,20400000
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,250,500,1100,2500,4000,26000,75000,149000,279000,520000,1070000,1360000,2780000,9e+06,19100000,34400000,44600000,51400000,67900000,84400000,97200000,1.17e+08,1.27e+08,1.31e+08,1.36e+08,1.51e+08,1.62e+08,1.66e+08
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,6500,20900,26600,70000,127000,350000,738000,1550000,2600000,3500000,4730000,6240000,8250000,9900000,10400000,10500000,10200000,10500000,10800000,10500000,9490000,9190000,8970000,8530000,8390000,8130000
"BHR",0,0,0,0,0,0,0,618,1710,2890,4250,5150,7350,9680,11400,17600,27600,40100,58500,92100,133000,206000,3e+05,389000,443000,650000,767000,907000,1120000,1440000,1400000,1570000,1690000,2120000,2210000,2330000,2520000,2990000,2360000,2090000,1900000
"BHS",0,0,0,0,0,0,0,0,0,0,0,1920,2020,2600,2400,9255.43397446265,4100,4950,6200,8070,15900,31500,60600,122000,122000,186000,228000,253000,374000,358000,359000,428000,299000,3e+05,287000,315000,311000,360000,354000,389000,426000
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,9000,25200,52600,93400,445000,749000,1070000,1410000,1590000,1890000,2450000,3180000,3260000,3110000,3170000,3360000,3490000,3490000,3440000,3400000,3440000,3460000,3690000
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,1720,5900,6550,8170,12200,23500,49400,138000,463000,1120000,2240000,4100000,5960000,6960000,8130000,9690000,10300000,10700000,10700000,11100000,11400000,11400000,11400000,11400000,11600000,11600000
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,832,1550,2180,2540,3540,6590,16800,39200,51700,60400,75000,96000,118000,118000,160000,162000,194000,222000,172000,175000,172000,212000,223000,239000,246000,255000
"BMU",0,0,0,0,0,0,0,0,0,0,745,1110,1440,1940,3400,5130,6320,7980,10300,12600,12800,13000,13300,30000,40000,49000,52700,60100,69000,79000,85000,88200,61320.8230540195,91000,94300,59500,38000,63900,65000,65000,65000
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,295,1550,2660,4060,7230,33400,118000,239000,420000,583000,780000,1020000,1280000,1800000,2420000,2880000,3250000,5040000,6460000,7180000,8350000,9490000,10400000,10500000,10200000,10100000,1.1e+07,11400000,11400000
"BRA",0,0,0,0,0,0,0,0,0,0,0,667,6700,32000,182000,574000,1290000,2500000,4550000,7370000,1.5e+07,23200000,28700000,34900000,46400000,65600000,86200000,99900000,1.21e+08,1.51e+08,1.69e+08,1.97e+08,2.34e+08,2.48e+08,2.71e+08,2.81e+08,2.58e+08,2.44e+08,2.18e+08,2.07e+08,2.07e+08
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,486,796,1560,2970,4610,6280,8010,12000,20300,28500,53100,97200,140000,2e+05,206000,237000,258000,289000,337000,350000,348000,349000,308000,305000,335000,332000,330000,329000,312000
"BRN",0,0,0,0,0,0,0,0,0,0,0,1770,3030,4100,8300,15600,35900,43500,45000,49100,66000,95000,143000,154000,177000,202000,233000,301000,366000,399000,413000,435000,443000,470000,469000,452000,463000,523000,545000,566000,557000
"BTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260,19100,36000,82100,149000,253000,339000,394000,484000,561000,544000,625000,676000,698000,731000,704000,729000
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15200,92000,222000,332000,332000,445000,523000,564000,823000,1150000,1490000,1870000,2360000,2900000,3080000,3250000,3410000,3480000,3290000,3240000,3380000,4e+06
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1070,1370,1630,4160,4970,11000,12600,40000,60000,1e+05,110000,340000,570000,864000,979000,992000,1140000,1360000,1160000,1240000,1250000,1180000,1280000,1530000
